🚀 Load Balancer initialized with 31 servers
🌐 Starting Load Balancer on port 7999
Listening on http://0.0.0.0:7999/ (http://localhost:7999/)
🔄 Forwarding GET /health to port 8000
🔄 Forwarding POST /api/parse-blockdata to port 8000
🔄 Forwarding POST /api/parse-blockdata to port 8000
🔄 Forwarding POST /api/parse-blockdata to port 8000
🔄 Forwarding POST /api/parse-blockdata to port 8001
🔄 Forwarding POST /api/parse-blockdata to port 8002
🔄 Forwarding POST /api/parse-blockdata to port 8003
🔄 Forwarding POST /api/parse-blockdata to port 8004
🔄 Forwarding POST /api/parse-blockdata to port 8000
🔄 Forwarding POST /api/parse-blockdata to port 8001
🔄 Forwarding POST /api/parse-blockdata to port 8000
🔄 Forwarding POST /api/parse-blockdata to port 8002
🔄 Forwarding POST /api/parse-blockdata to port 8003
🔄 Forwarding POST /process-transactions to port 8000
🔄 Forwarding GET /health to port 8000
🔄 Forwarding POST /api/parse-blockdata to port 8000
🔄 Forwarding POST /api/parse-blockdata to port 8001
🔄 Forwarding POST /api/parse-blockdata to port 8002
🔄 Forwarding POST /api/parse-blockdata to port 8003
🔄 Forwarding POST /api/parse-blockdata to port 8004
🔄 Forwarding POST /api/parse-blockdata to port 8005
🔄 Forwarding POST /api/parse-blockdata to port 8006
🔄 Forwarding POST /api/parse-blockdata to port 8007
🔄 Forwarding POST /api/parse-blockdata to port 8008
🔄 Forwarding POST /api/parse-blockdata to port 8009
🔄 Forwarding POST /api/parse-blockdata to port 8000
🔄 Forwarding POST /api/parse-blockdata to port 8001
🔄 Forwarding POST /api/parse-blockdata to port 8010
🔄 Forwarding POST /api/parse-blockdata to port 8011
🔄 Forwarding POST /api/parse-blockdata to port 8012
🔄 Forwarding POST /api/parse-blockdata to port 8002
🔄 Forwarding POST /api/parse-blockdata to port 8004
🔄 Forwarding POST /api/parse-blockdata to port 8005
🔄 Forwarding POST /api/parse-blockdata to port 8006
🔄 Forwarding POST /api/parse-blockdata to port 8008
🔄 Forwarding POST /api/parse-blockdata to port 8013
🔄 Forwarding POST /api/parse-blockdata to port 8014
🔄 Forwarding POST /api/parse-blockdata to port 8015
🔄 Forwarding POST /api/parse-blockdata to port 8016
🔄 Forwarding POST /api/parse-blockdata to port 8017
🔄 Forwarding POST /api/parse-blockdata to port 8003
🔄 Forwarding POST /api/parse-blockdata to port 8007
🔄 Forwarding POST /api/parse-blockdata to port 8009
🔄 Forwarding POST /api/parse-blockdata to port 8018
🔄 Forwarding POST /api/parse-blockdata to port 8019
🔄 Forwarding POST /api/parse-blockdata to port 8020
🔄 Forwarding POST /api/parse-blockdata to port 8021
🔄 Forwarding POST /api/parse-blockdata to port 8022
🔄 Forwarding POST /api/parse-blockdata to port 8023
🔄 Forwarding POST /api/parse-blockdata to port 8024
🔄 Forwarding POST /api/parse-blockdata to port 8025
🔄 Forwarding POST /api/parse-blockdata to port 8026
🔄 Forwarding POST /api/parse-blockdata to port 8027
🔄 Forwarding POST /api/parse-blockdata to port 8028
🔄 Forwarding POST /api/parse-blockdata to port 8029
🔄 Forwarding POST /api/parse-blockdata to port 8030
🔄 Forwarding POST /api/parse-blockdata to port 8000
🔄 Forwarding POST /api/parse-blockdata to port 8001
🔄 Forwarding POST /api/parse-blockdata to port 8002
🔄 Forwarding POST /api/parse-blockdata to port 8003
🔄 Forwarding POST /api/parse-blockdata to port 8004
🔄 Forwarding POST /api/parse-blockdata to port 8005
🔄 Forwarding POST /api/parse-blockdata to port 8010
🔄 Forwarding POST /api/parse-blockdata to port 8011
🔄 Forwarding POST /api/parse-blockdata to port 8012
