2025-07-17 15:57:50,190138,5244,184899,2.8,   PID: 28345 | RSS: 104MB | VSZ: 35441MB | CMD: /home/ubuntu/.nvm/versions/node/v22.17.1/lib/node_modules/deno/deno run --allow-net --allow-env --allow-read --allow-write --v8-flags=--no-memory-saver-mode src/server.ts 8000 
   PID: 28382 | RSS: 103MB | VSZ: 35374MB | CMD: /home/ubuntu/.nvm/versions/node/v22.17.1/lib/node_modules/deno/deno run --allow-net --allow-env --allow-read --allow-write --v8-flags=--no-memory-saver-mode src/server.ts 8001 
   PID: 28419 | RSS: 99MB | VSZ: 35306MB | CMD: /home/ubuntu/.nvm/versions/node/v22.17.1/lib/node_modules/deno/deno run --allow-net --allow-env --allow-read --allow-write --v8-flags=--no-memory-saver-mode src/server.ts 8002 
   PID: 28456 | RSS: 103MB | VSZ: 35374MB | CMD: /home/ubuntu/.nvm/versions/node/v22.17.1/lib/node_modules/deno/deno run --allow-net --allow-env --allow-read --allow-write --v8-flags=--no-memory-saver-mode src/server.ts 8003 
   PID: 28494 | RSS: 101MB | VSZ: 35436MB | CMD: /home/ubuntu/.nvm/versions/node/v22.17.1/lib/node_modules/deno/deno run --allow-net --allow-env --allow-read --allow-write --v8-flags=--no-memory-saver-mode src/server.ts 8004 
   PID: 28532 | RSS: 104MB | VSZ: 35374MB | CMD: /home/ubuntu/.nvm/versions/node/v22.17.1/lib/node_modules/deno/deno run --allow-net --allow-env --allow-read --allow-write --v8-flags=--no-memory-saver-mode src/server.ts 8005 
   PID: 28571 | RSS: 102MB | VSZ: 35375MB | CMD: /home/ubuntu/.nvm/versions/node/v22.17.1/lib/node_modules/deno/deno run --allow-net --allow-env --allow-read --allow-write --v8-flags=--no-memory-saver-mode src/server.ts 8006 
   PID: 28609 | RSS: 103MB | VSZ: 35438MB | CMD: /home/ubuntu/.nvm/versions/node/v22.17.1/lib/node_modules/deno/deno run --allow-net --allow-env --allow-read --allow-write --v8-flags=--no-memory-saver-mode src/server.ts 8007 
   PID: 28647 | RSS: 102MB | VSZ: 35439MB | CMD: /home/ubuntu/.nvm/versions/node/v22.17.1/lib/node_modules/deno/deno run --allow-net --allow-env --allow-read --allow-write --v8-flags=--no-memory-saver-mode src/server.ts 8008 
   PID: 28685 | RSS: 102MB | VSZ: 35438MB | CMD: /home/ubuntu/.nvm/versions/node/v22.17.1/lib/node_modules/deno/deno run --allow-net --allow-env --allow-read --allow-write --v8-flags=--no-memory-saver-mode src/server.ts 8009 
   PID: 28723 | RSS: 104MB | VSZ: 35438MB | CMD: /home/ubuntu/.nvm/versions/node/v22.17.1/lib/node_modules/deno/deno run --allow-net --allow-env --allow-read --allow-write --v8-flags=--no-memory-saver-mode src/server.ts 8010 
   PID: 28761 | RSS: 102MB | VSZ: 35375MB | CMD: /home/ubuntu/.nvm/versions/node/v22.17.1/lib/node_modules/deno/deno run --allow-net --allow-env --allow-read --allow-write --v8-flags=--no-memory-saver-mode src/server.ts 8011 
   PID: 28799 | RSS: 99MB | VSZ: 35436MB | CMD: /home/ubuntu/.nvm/versions/node/v22.17.1/lib/node_modules/deno/deno run --allow-net --allow-env --allow-read --allow-write --v8-flags=--no-memory-saver-mode src/server.ts 8012 
   PID: 28837 | RSS: 104MB | VSZ: 35374MB | CMD: /home/ubuntu/.nvm/versions/node/v22.17.1/lib/node_modules/deno/deno run --allow-net --allow-env --allow-read --allow-write --v8-flags=--no-memory-saver-mode src/server.ts 8013 
   PID: 28875 | RSS: 99MB | VSZ: 35436MB | CMD: /home/ubuntu/.nvm/versions/node/v22.17.1/lib/node_modules/deno/deno run --allow-net --allow-env --allow-read --allow-write --v8-flags=--no-memory-saver-mode src/server.ts 8014 
   PID: 28913 | RSS: 99MB | VSZ: 35373MB | CMD: /home/ubuntu/.nvm/versions/node/v22.17.1/lib/node_modules/deno/deno run --allow-net --allow-env --allow-read --allow-write --v8-flags=--no-memory-saver-mode src/server.ts 8015 
