🚀 Starting server on port 8028
Listening on http://0.0.0.0:8028/ (http://localhost:8028/)
97
parse block 292701831,cost:85 ms
parse block 292701830,cost:34 ms
parse block 292701829,cost:20 ms
parse block 292701828,cost:33 ms
parse block 292701827,cost:45 ms
parse block 292701826,cost:104 ms
parse block 292701825,cost:54 ms
parse block 292701824,cost:71 ms
parse block 292701823,cost:42 ms
parse block 292701822,cost:48 ms
parse block 292701821,cost:80 ms
parse block 292701820,cost:22 ms
parse block 292701819,cost:36 ms
parse block 292701818,cost:57 ms
parse block 292701817,cost:31 ms
parse block 292701816,cost:67 ms
parse block 292701815,cost:71 ms
parse block 292701812,cost:39 ms
parse block 292701811,cost:60 ms
parse block 292701810,cost:21 ms
parse block 292701809,cost:20 ms
parse block 292701808,cost:14 ms
parse block 292701807,cost:23 ms
parse block 292701806,cost:17 ms
parse block 292701805,cost:17 ms
parse block 292701804,cost:21 ms
parse block 292701803,cost:82 ms
parse block 292701802,cost:6 ms
parse block 292701801,cost:11 ms
parse block 292701800,cost:7 ms
parse block 292701799,cost:58 ms
parse block 292701798,cost:26 ms
parse block 292701797,cost:41 ms
parse block 292701796,cost:28 ms
parse block 292701795,cost:24 ms
parse block 292701794,cost:26 ms
parse block 292701793,cost:29 ms
parse block 292701792,cost:31 ms
parse block 292701791,cost:1 ms
parse block 292701790,cost:36 ms
parse block 292701789,cost:32 ms
parse block 292701788,cost:35 ms
parse block 292701787,cost:30 ms
parse block 292701786,cost:41 ms
parse block 292701785,cost:45 ms
parse block 292701784,cost:71 ms
parse block 292701783,cost:74 ms
parse block 292701782,cost:72 ms
parse block 292701781,cost:56 ms
parse block 292701780,cost:34 ms
parse block 292701779,cost:31 ms
parse block 292701778,cost:50 ms
parse block 292701777,cost:67 ms
parse block 292701776,cost:38 ms
parse block 292701775,cost:37 ms
parse block 292701774,cost:23 ms
parse block 292701773,cost:27 ms
parse block 292701772,cost:17 ms
parse block 292701771,cost:43 ms
parse block 292701770,cost:30 ms
parse block 292701769,cost:64 ms
parse block 292701768,cost:40 ms
parse block 292701767,cost:39 ms
parse block 292701766,cost:71 ms
parse block 292701765,cost:21 ms
parse block 292701764,cost:55 ms
parse block 292701763,cost:48 ms
parse block 292701762,cost:41 ms
parse block 292701761,cost:63 ms
parse block 292701760,cost:58 ms
parse block 292701759,cost:91 ms
parse block 292701758,cost:75 ms
parse block 292701757,cost:36 ms
parse block 292701756,cost:40 ms
parse block 292701755,cost:45 ms
parse block 292701754,cost:43 ms
parse block 292701753,cost:65 ms
parse block 292701752,cost:32 ms
parse block 292701751,cost:84 ms
parse block 292701750,cost:61 ms
parse block 292701749,cost:22 ms
parse block 292701748,cost:51 ms
parse block 292701747,cost:92 ms
parse block 292701746,cost:34 ms
parse block 292701745,cost:38 ms
parse block 292701744,cost:32 ms
parse block 292701743,cost:37 ms
parse block 292701742,cost:38 ms
parse block 292701741,cost:61 ms
parse block 292701740,cost:39 ms
parse block 292701739,cost:10 ms
parse block 292701738,cost:36 ms
parse block 292701737,cost:29 ms
parse block 292701736,cost:11 ms
parse block 292701735,cost:67 ms
parse block 292701734,cost:39 ms
parse block 292701733,cost:31 ms
quoteSymbol not support DUp2qMMGuACziKeyZRtH9cuKyqtYpqJ24iZg6tVLpump, skipping transaction 4U2mx5NPRGTdMjt7a7dz535rETnQQU8AeqcGcGbQN2Rt8Soe9DGSwK9mSQZQvH34Vc3Lhmx9umCPYRLdfCpvJiAh
Invalid quoteAmount: 0, skipping transaction 5AuGRoPJ5cv5yyzs9TZ65vi8YyinvRjzAygKSpS91y4RUUHzbXAncTq8iVE5KsFXejDZrC4v2XNibrXacq1QVmLw
quoteSymbol not support 123fJ8eJ3KeMaAsSXAaCE1B17xjAYHuGa3Wt7cwkpump, skipping transaction 4EVgWimBBRAcNLf6KZFWPXrBe9cR5YcjxbvtJaJRRVjWKYPjS9JerruaF8GhNT1wYfdroVpntsvZ39zWC1Hj2755
quoteSymbol not support 3WPep4ufaToK1aS5s8BL9inzeUrt4DYaQCiic6ZkkC1U, skipping transaction 568r26XWkXaNiCR6SQvR5LWDPLumQeMJWmYncV5jjyjJLQah3GPsmwFL1hPQ6oXsn7Jizd2zuST9vztJPwRyvkHE
Invalid tokenAmount: 0, skipping transaction 28YQRKXjkgFP8wmcHrqPk92Hz2biuc92oSswgx9nnJbaeji9xgoBNYDwoeTBxCY5XtAYWx3ptvYH1JYodAP1A3ZL
